questionid,zone_name,diffrank,catname,question,answer1,answer2,answer3,right,response
317223,Entertainment,2,Train,What year was Train's debut album released?,1994,1996,2000,1998,"Train's debut album ""Train"" was released in 1998 on Aware/Columbia Records."
319498,Entertainment,2,Fall Out Boy,What Fall Out Boy album marked their major-label debut?,Take This to Your Grave,Evening Out With Your Girl, Infinity on High,Under the Cork Tree,Under the Cork Tree was Fall Out Boy's third full-length album.
343057,Entertainment,1,Rihanna,What Rihanna video starts with Jay-Z singing his part in the rain?,Oh Baby,Good Girls Gone Bad,Runaway,Umbrella,"In the video for ""Umbrella"", Rihanna starts dancing with water splashing against her, but she doesn't get wet."
512762,Entertainment,1,2014 Pop Music,"Which band recorded the 2014 UK Singles chart-topper ""She Looks So Perfect""?",The 1975,Emblem3,The Vamps,5 Seconds of Summer,"5 Seconds of Summer performed ""She Looks So Perfect"", their debut major label single, at the 2014 Billboard Music Awards."
512819,Entertainment,2,2014 Pop Music,"The music video for Chris Brown's ""Loyal"" features Lil Wayne and which rapper?",Meek Mill,Too $hort,French Montana,Tyga,"Usher, Trey Songz and Ty Dolla $ign make cameo appearances in the music video for Chris Brown's 2013 single ""Loyal""."
87858,Entertainment,1,Snoop Dogg,What is Snoop Dogg's real name?,Andre Young,O'Shea Jackson,Snoop Dogg,Calvin Cordozar Broadus,"Snoop Dogg got the childhood nickname ""Snoopy"" from his mom, and he took the name Snoop Doggy Dog when he started recording."
519427,Entertainment,1,Rap Hip/Hop 2013-14,What 2014 Pitbull hit song features  songwriter and producer John Ryan?,Lifestyle,Hot N*gga,G.D.F.R.,Fireball,"Fireball was released on July 23, 2014 as the third single from Pitbull's eighth studio album ""Globalization"". "
519575,Entertainment,3,Rap Hip/Hop 2013-14,"Which 2013 ScHoolboy Q single samples ""Cherry"" by the electronic band Chromatics?",Collard Greens,Break The Bank,Studio,Man Of The Year,"ScHoolboy Q made his network TV debut on January 24, 2014 when he performed ""Man of the Year"" on NBC's ""Late Night with Jimmy Fallon""."
519595,Entertainment,3,Rap Hip/Hop 2013-14,Which rapper won the 2014 BET Hip Hop Award for Best Live Performer?,Drake,Jay-Z,Kendrick Lamar,Kanye West,"Drake, Jay Z, Kendrick Lamar and T.I. were also nominated for Best Live Performer at the 2014 BET Hip Hop Awards."
519607,Entertainment,3,Rap Hip/Hop 2013-14,"What 2013 single by Rocko contains the infamous Rick Ross ""date rape"" lyric?",ShiiKno,Money Motivated,Which 1 U Workin,U.O.E.N.O.,"Rocko later replaced the Rick Ross verse in ""U.O.E.N.O."" in order to get radio play."
194125,Entertainment,3,Snoop Dogg,"What group did Snoop Dogg, Warren G and Nate Dogg form?",LBC,Ths Dogg Pound,G Funk,213,Nathaniel Dawayne Hale (Nate Dogg) served three years in the Marines before receiving a dishonorable discharge.
1028,Entertainment,2,TV Comedy Shows,"Who did Gary Coleman play on the TV show ""Diff'rent Strokes""?",Willis Jackson,Arnold Drummond,Arnold Willis,Arnold Jackson,Actor Gary Coleman was a candidate for governor in the 2003 California recall election.
1034,Entertainment,1,TV Comedy Shows,"What was Margaret Houlihan's nickname on TV's ""M*A*S*H""?",Hot Hiney,Hot Chocolate,Hot Legs,Hot Lips,"Loretta Swit played Major Margaret ""Hot Lips"" Houlihan in the TV show ""M*A*S*H""."
3152,Entertainment,1,TV Drama Shows,"What was Mulder's sister's name on ""The X-Files""?",Sarah,Tabitha,Dana,Samantha,"Samantha Mulder's abduction is what leads Mulder to investigate ""The X Files""."
6405,Entertainment,2,TV Comedy Shows,"On ""Cheers"", what drink did Woody make to get his replacement bartender fired?",Peppermint Dutchman,Scorched Flamingo,Royal Coachman,Screaming Viking,Cheers first aired September 1982.
11349,Entertainment,1,TV Actors/Actresses,Which soap opera featured the perpetually feuding Jack Abbot and Victor Newman?,Days Of Our Lives,One Life To Live,The Bold And The Beautiful,The Young And The Restless,The Young and the Restless first aired on CBS in 1973.
15094,Entertainment,1,TV Comedy Shows,"On the TV show ""Seinfeld"", what state do Jerry's parents live in?",New Jersey,New York,California,Florida,"Jerry's parents on the TV show ""Seinfeld"" live in Lake Boca Vista, Florida."
24967,Entertainment,1,TV Actors/Actresses,"In what TV series did David Hasselhoff appear prior to ""Baywatch""?","Magnum, P.I.",Days Of Our Lives,The A-Team,Knight Rider,David Hasselhoff staged a pay-per-view concert the same night as the O.J. Simpson Bronco chase.
55009,Entertainment,1,TV Comedy Shows,"On ""The Cosby Show"", what was the real name of Theo's friend Cockroach?",William,Wallace,Willis,Walter,"Theo Huxtable on ""The Cosby Show"" is played by Malcolm Jamal-Warner."
86560,Entertainment,1,TV Drama Shows,"What does ""M*A*S*H"" stand for?",Military Army Spaghetti House,Military Army Supply House,Mobile Army Supply Hospital,Mobile Army Surgical Hospital,The mash unit was responsible for saving many lives during the Korean War.
385415,Entertainment,3,TV Shows of 2007,"A fight with which other ""Californication"" character lands Hank in jail?",Charlie Rumkle,Bill Gross,Karen Van Der Beek,Todd Carr,"David Duchovny, who plays Hank, also had a recurring role on the TV series ""Twin Peaks""."
462355,Entertainment,2,TV Catch Phrases,You eeeediot! was yelled out by which cartoon character?,Bugs Bunny,Beavis,Fred Flintstone,Ren,The Ren & Stimpy Show was created by Canadian animator John Kricfalusi.
475064,Entertainment,1,Game of Thrones,"On what series of best-selling fantasy novels by George R. R. Martin's is ""Game of Thrones"" based?",Excalibur,Afterworld,Lord Of The Rings,A Song of Ice and Fire,"The first book in George R. R. Martin's ""A Song of Fire and Ice"" series is ""Game of Thrones""."
475066,Entertainment,1,Game of Thrones," What are the various dynasties struggling to control in ""Game of Thrones""? ",The Starks,The Royal Coffers,The Narrow Sea,The Iron Throne,"The 'Sopranos' in Middle-earth was a jokingly suggested tagline for the television adaptation of ""Game of Thrones""."
475079,Entertainment,1,Game of Thrones,"Who is the mother of Joffrey, Tommen and Myrcella Baratheon in ""Game of Thrones""?",Daenerys Targaryen,Septa Mordane,Eddard Stark,Cersei Lannister,"In ""Game of Thrones"", Cersei is married to Robert Baratheon, but her brother, Jaime, is the father of her three children."
1892,Entertainment,1,Kids Cartoons,What cartoon was Boris Badenov from?,Casper,Scooby Doo Mysteries,Batfink,Rocky And Bullwinkle,"Boris Badenov was Natasha Fatale's partner spy on ""Rocky and Bullwinkle"". "
6894,Entertainment,1,The Simpsons (1989- ),"On ""The Simpsons"", what was Marge's maiden name?",Washington,Yankovic,Smith,Bouvier,"No Doubt's Eric Stefani, is an animator for the show."
87254,Entertainment,1,The Simpsons (1989- ),"On ""The Simpsons"", who are the twins that go to school with Bart and Lisa?",Mary & Carrie,Carrie & Terri,Shelly & Telly,Sherri & Terri,"The Simpsons creator Matt Groening also created the comic strip ""Life In Hell""."
87922,Entertainment,2,Kids TV,Where would you find the character Snuffleupagus?,Harry Potter,Dr. Seuss,Lord Of The Rings,Sesame Street,"Originally, only Big Bird of all the characters on ""Sesame Street"" could see Snuffleupagus."
5181,Entertainment,1,Friends (1994-2004),"Who portrayed Ross and Monica's father on the TV show ""Friends""?",Brian Benben,Alan Alda,Tom Selleck,Elliot Gould,Elliot Gould portrayed Ross and Monica's father in the episode when their grandmother died.
12300,Entertainment,1,NYPD Blue (1993-2005),"In what precinct was the cop show ""NYPD Blue"" staged?",6th,11th,8th,15th,"The TV show ""NYPD Blue"" won four Golden Globes."
20489,Entertainment,1,Family Ties (1982-89),"Who plays Jennifer Keaton on the TV show ""Family Ties""?",Jessica Beil,Tracy Gold,Tori Spelling,Tina Yothers,"The TV show ""Family Ties"", starred Meredith Baxter-Birney as Elyse Keaton."
33060,Entertainment,2,Friends (1994-2004),"On ""Friends"", what was Chandler's new roommate Eddie's hobby?",Bike Riding,Reading,Goldfish,Dehydrating Fruit,"Chandler never celebrates Thanksgiving or eats traditional Thanksgiving foods on ""Friends""."
38633,Entertainment,1,Friends (1994-2004),"Monica forbids Joey to call her from where on TV's ""Friends""?",Work,A Plane,Ross' Apartment,His Bathroom,"Joey has a phone in his bathroom after the separation with Chandler, and Monica says to him ""Don't ever call me from that phone""."
64738,Entertainment,1,Friends (1994-2004),"How many girls has Ross been married to on TV's ""Friends""?",2,5,4,3,"Ross on ""Friends"" was married to 3 women: Carol, Emily, and Rachel."
282800,Entertainment,1,Prison Break (2005- ),"What is the name of the prison in ""Prison Break""?",Cold Bell,Belltown,Abruzzi State,Fox River,"When Michael was first incarcerated on ""Prison Break"", his sentence was five years, beginning immediately."
293160,Entertainment,2,Entourage (2004- ),"Who was the first guest the night Vincent Chase appeared on ""Jimmy Kimmel Live""?",Mandy Moore,Natalie Portman,Elisha Cuthbert,Sara Foster,Sara Foster is the daughter of music producer and Academy Award nominated songwriter David Foster.
294872,Entertainment,1,Bones (2005- ),"In the show ""Bones"", what was Booth's job in the Army?",Drill Sergeant,Paratrooper,Tank Driver,Sniper,"On ""Bones"", Booth is the one who gives Temperance Brennan the nickname of ""Bones""."
294879,Entertainment,2,Bones (2005- ),"The TV show ""Bones"" is based on the novels of which author?",Sue Grafton,Patricia Cornwell,Linda Fairstein,Kathy Reichs,"A popular tag line for the television series ""Bones"" was ""To Unravel A Murder, You Have To Strip It To The Bone""."
295095,Entertainment,2,Hustle (2004- ),"On ""Hustle"", Mickey and Danny are forced to participate in what contest?",Albert's Challenge,The London Challenge,The Physical Challenge,The Henderson Challenge,"In the Henderson Challenge from ""Hustle"", participants are left naked on the streets and must make as much money as they can in six hours."
295229,Entertainment,1,NCIS (2003- ),"What is medical examiner Dr. Donald Mallard's nickname on the TV show ""NCIS""?",Jet,M.E.,Goofy,Ducky,"The television series ""NCIS"" stars actor Mark Harmon as Leroy Jethro Gibbs."
298370,Entertainment,3,Deal or No Deal (2005- ),"On the game show ""Deal or No Deal"", what kind of laptop does the banker use?",Sony VAIO,Compaq,Dell,Mac,Deal or No Deal is a TV game show hosted by Howie Mandel first released in the U.S. in 2005.
298444,Entertainment,1,Nip/Tuck (2003- ),"What is the name of the plastic surgery center in the TV show ""Nip/Tuck""?",Smith-Chase,Dalton-McGuire,McDougall-Bentley,McNamara-Troy,"Before ""Nip/Tuck"", Roma Maffia and Julian McMahon appeared together on the TV show ""Profiler""."
385394,Entertainment,1,Gossip Girl (2007 - ),"From what does the show ""Gossip Girl"" get its name?",The School Newspaper,A Trendy Boutique,A Local Band,An Anonymous Blogger,"The ""Gossip Girl"" series of books inspired a television show by the same name."
399676,Entertainment,1,The Big Bang Theory (2007 -),"What is the occupation of both Leonard and Sheldon on ""The Big Bang Theory""?",Geologists,Science Teachers,Biologists,Physicists,"On ""The Big Bang Theory"", Leonard and Sheldon are brilliant physicists."
462372,Entertainment,2,TV Hangouts,What TV show used the back room of the Bada Bing Club to hang out?,The Simpsons,Entourage,Starsky And Hutch,The Sopranos,"Bada Bing!, a strip club owned Silvio Dante on ""The Sopranos"", is an actual strip club on Route 17 in Lodi, New Jersey."
462381,Entertainment,2,TV Hangouts,Who hangs out at The Drunken Clam?,Homer Simpson,Drew Carey,Scully And Mulder,Peter Griffen,"Family Guy is categorized in the genres of ""black comedy"" and ""blue comedy""."
474970,Entertainment,2,THE VOICE,"Who is credited with creating the show ""The Voice""?",Blake Shelton,Mark Burnett,Dick Clark,John de Mol,"John de Mol created the TV show ""The Voice of Holland""."
475155,Entertainment,3,Curb Your Enthusiasm (2000- ),"What stand-up comedian plays the recurring role of Leon on ""Curb Your Enthusiasm""?",Richard Lewis,Ted Danson,Michael Richards,J. B. Smoove,"Comedian/actor J. B. Smoove's given name is Jerry Brooks, shortened to ""J.B."" for his stand-up career."
475194,Entertainment,2,Modern Family,"On ""Modern Family"", where did Mitchell go to law School?",Yale University,Harvard University,UCLA,Columbia University,"On ""Modern Family"", Mitchell took his undergrad degree from Cornell University before going on to law school."
490861,Entertainment,1,Breaking Bad,"In ""Breaking Bad"", where did Walter first meet Jesse? ",At A DEA Drug Bust,At The Police Station,At The Convenient Store,In A High School Chemistry Class,"While on a ""ride along"" with Hank, Walter recognizes former student Jesse climbing out a window and running away from a house being raided by the DEA."
12886,General Knowledge,1,Great Artists,What post-impressionist artist is known for painting Tahitian subject matter?,Vincent Van Gogh,Edouard Manet,Henri Matisse,Paul Gauguin,Paul Gauguin spent many years in Tahiti and is buried in French Polynesia.
54977,General Knowledge,2,Art Styles-History,Who painted the famous picture of Napoleon crossing the Alps?,Frantois Rabelais,Pieter Brueghel The Elder,Rembrandt Harmenszoon van Rijn,David,"French painter, Jacques-Louis David, was born in 1748."
291676,General Knowledge,2,Broadway,Which 1997 Best Picture Nominee was turned into Broadway musical in 2000?,L.A. Confidential,Titanic,As Good As It Gets,The Full Monty,The Full Monty was nominated for ten Tonys.
346127,General Knowledge,3,Ballet,"The word ballet comes from the word for ""dance"" in what language?",Italian,German,Spanish,French,"The French word ""ballet"" originally came from the Latin ""ballere"" meaning ""to dance""."
247274,General Knowledge,2,Supermodels,"Who has had a son, Flynn, with financer Arki Busson?",Carmen Kass,Trish Goff,Rhea Durham,Elle Macpherson,"Elle MacPherson played Julie Madison in 1997's ""Batman and Robin""."
321104,General Knowledge,1,Skin And Beauty,What is a doctor who treats skin conditions called?,Podiatrist,Oncologist,Skinologist,Dermatologist,"The word ""dermatologist"" is derived from the Greek word ""derma"" which means skin."
321242,General Knowledge,1,Skin And Beauty,"What make-up company's slogan begins ""Maybe she's born with it""?",Clinique,Wet & Wild,Cover Girl,Maybelline,"Maybe she's born with it - maybe it's Maybelline is a slogan for Maybelline, a division of L'Oreal."
321250,General Knowledge,1,Skin And Beauty,Fake fingernails made of what material were popular in the 1990's?,Spandex,Plexiglass,Foil,Acrylic,Acrylic is a mix of a polymer powder and a liquid monomer 
104081,General Knowledge,1,Business,What spilled from the Exxon Valdez?,Gun Powder,Natural Gas,Coal,Oil,11 million gallons of oil was spilled from the Exxon Valdez.
194018,General Knowledge,2,Economics,Which company invented the word processor?,Microsoft,Dell,Compaq,IBM,IBM was incorporated in 1911 as the Computing-Tabulating-Recording Company (C-T-R).
281843,General Knowledge,3,Wall Street,"Which Presidential candidate was nicknamed ""The Barefoot Boy from Wall Street""?",Walter Mondale,Thomas Dewey,Adlai E. Stevenson,Wendell Wilkie,Wendell Wilkie ran for President against and lost to Franklin D. Roosevelt in 1940.
3404,General Knowledge,2,Computer Networking,"In computer terms, what does ""LLC"" stand for?",Lap Link Controller,Long Lasting Cache,Limited Link Company,Logical Link Control,"LLC or ""Logical Link Control"" is used for management of data link communications."
55474,General Knowledge,1,Computers,"What does the ""e"" stand for in email?",Entertaining,Extra,Event,Electronic,"The ""e"" in email denotes that it is mail delivered electronically."
244448,General Knowledge,1,Computers,In what year was the compact disk invented?,1979,1991,1988,1965,The compact disk was invented by James Russell.
340098,General Knowledge,2,Computers,In what year was the Ethernet Computer Network established?,1949,1955,1989,1973,"Robert Metcalfe, a Xerox research staff member, created the Ethernet."
1259,General Knowledge,1,Beer,Which beer was the largest selling single beer brand in the world by 2006?,Michelob,Coors,Pabst,Budweiser,Budweiser beer was first introduced in 1876.
89084,General Knowledge,2,Food,"Who is considered ""The Father of Modern French Cooking""?",Wolfgang Puck,Emeril Lagasse,Jaques Pepin,August Escoffier,The French eat more cheese than any other nation in the world - an amazing total of 20.4 kg (45 lbs.) per person per year. 
217534,General Knowledge,2,Food,What popular diet cola first appeared in 1962?,Diet Rite,Diet Coke,Diet Dr Pepper,Tab,"Tab was originally sweetened with cyclamate, a sugar substitute banned in the U.S. in 1969 for causing bladder cancer in test rats."
228398,General Knowledge,3,Food,Which country ranks first in cereal consumption per capita?,France,Morocco,Egypt,Ireland,A serving of many ready-to-eat cereals provides 10 to 25 percent of the daily value for 10 or more essential nutrients.
294680,General Knowledge,1,Food,What kind of food is focaccia?,Sausage,Vegetable,Dessert,Bread,"The word ""fettucini"" is Italian for ""ribbon."""
294761,General Knowledge,2,Food,What strangely named type of mackerel is also known as an Ono in Hawaii?,Wackawacka,Woowoo,Yahoo,Wahoo,Ono is the Hawaiian word for delicious.
294821,General Knowledge,3,Food,The club steak is also known by what other name?,T-Bone Steak,Flank Steak,Alfonzo Steak,Delmonico Steak,Steak Delmonico was made world-famous by Delmonico's Restaurant in New York City during the mid 1800's.
303679,General Knowledge,3,Candy,On what candy wrapper might you find an Indian shooting an arrow at a star?,Laffy Taffy,Necco Wafers,Snickers,Tootsie Roll Pop,The famous Tootsie Roll Pop was born in 1931.
324819,General Knowledge,3,Snacks And Cookies,"How many squiggles are on top of ""Hostess Cup Cakes""?",Six,Nine,Five,Seven,Hostess added squiggles to the icing on their cupcakes in 1950.
326164,General Knowledge,3,Snacks And Cookies,What were potato chips first called?,Sarasota Chips,Summer Spring Chips,Salted Chips,Saratoga Chips,The first potato chips were prepared by Native American Chef George Crum in 1853.
341005,General Knowledge,1,Wine,What is the California region called that is famous for their wine production?,Narda Valley,Natcha Valley,Nally Valley,Napa Valley,"The population of Napa Valley in 2000 was 124,279."
341006,General Knowledge,2,Wine,Which prime time drama was centered around a wine growing family?,Dallas,Dynasty,Knots Landing,Falcon Crest,"TV's ""Falcon Crest"" was centered around the fictional wine area called Tuscany Valley."
347930,General Knowledge,2,Chefs,What famous chef created the world-renowned Spago's restaurant?,Emeril Lagasse,Mario Batali,Julia Child,Wolfgang Puck,Wolfgang Puck was a cook for Indiana National Bank in the mid 1970's.
348048,General Knowledge,2,Chefs,What was the first television show Emeril Lagasse created?,Bam!,Emeril Live,Seasoned Chef,The Essence Of Emeril,"Emeril Lagasse has his own spice blend concoction that he calls ""Essence""."
350325,General Knowledge,3,Chefs,"Who is the host of the Canadian cooking show ""Urban Peasant""?",Alton Brown,George Crum,Alain Ducasse,James Barber,"James Barber is a cookbook author, television show host and restaurant critic for the ""Vancouver Sun""."
2140,General Knowledge,1,Games,What was the first Nintendo video game system to hit the market?,Saturn,Super Nintendo,Gameboy,Nintendo,The first Nintendo system to hit the market was the successful Nintendo.
2141,General Knowledge,1,Video Games,"Who is the final character that you fight in ""Mortal Kombat"" for Sega Genesis?",Goro,Motaro,Kintaro,Shang Tsung,"Motaro and Kintaro did not appear until later ""Mortal Kombat"" games for Sega Genesis."
2190,General Knowledge,2,Video Games,"What is the name of Cid's airship in ""Final Fantasy VII""?",Cruiser,Slicer,Stormwind,Highwind,"The soundtrack of ""Final Fantasy VII"" was released in 1997 on a four disc set."
16771,General Knowledge,3,Video Games,"Who is the main boss in ""Link's Awakening""?",Gannon,Zeal,Kefka,Nightmare,"Link's Awakening is one of the few ""Zelda"" series games not to feature Princess Zelda at all."
16772,General Knowledge,2,Video Games,"In the game ""Chrono Trigger"", what sword breaks down Magus's magic defense?",Excalibur,Atma Weapon,Rainbow,Masamune,"The game ""Chrono Trigger"" was published by Square."
16811,General Knowledge,2,Video Games,"The rhino that helps Donkey Kong and Diddy in ""Donkey Kong Country"" is named?",Rocky,Rhiny,Bam Bam,Rambi,Donkey Kong Country was the first home video game to feature advanced 3D-rendered objects.
16864,General Knowledge,3,Video Games,"In ""Mortal Kombat"" who was a clone created by Shang Tsung?",Cyrax,Baraka,Kitana,Mileena,"In ""Mortal Kombat"", Kitana's twin sister Mileena was actually a look-alike clone created by Shang Tsung."
16885,General Knowledge,2,Video Games,"What is the name of the company that hosted the tournament in ""Killer Instinct""?",Supertech,Megatech,Gigatech,Ultratech,"Originally, ""Killer Instinct"" was an arcade-only game."
33516,General Knowledge,3,Video Games,"In ""Zelda 64"", who does Link say he would marry?",Saria,Ganon,Zelda,Ruto,"In ""Zelda 64"", when Link got the Zora Sapphire he said he would marry the Zora princess, Ruto."
40961,General Knowledge,2,Video Games,"In ""Street Fighter II"", which character has unusually stretchy limbs?",Stretch,Blanka,Akuma,Dhalsim,"In ""Street Fighter II"", Dhalsim's long kicks can reach almost half-way across the screen."
48134,General Knowledge,3,Video Games,"In ""Final Fantasy VIII"", who is sometimes referred to as being a lone wolf?",Ward Zabac,Cid Kramer,Zell Dincht,Squall Leonhart,"Thirteen weeks after its release, ""Final Fantasy VIII"" had earned more than U.S. $50 million in sales."
59950,General Knowledge,3,Video Games,"What band performs ""My Favorite Game"" in the introduction of ""Gran Turismo 2""?",Rob Zombie,Garbage,Pearl Jam,Cardigans,"In the video game ""Gran Turismo 2"", players can choose from nearly 650 different vehicles."
201787,General Knowledge,2,Video Game Machines,What was the GameCube's code name before it was released?,Cubix,Ultra 128,Mega Drive,Dolphin,GameCube will work with HDTVs but does not provide a high definition signal.
250990,General Knowledge,3,Online Gaming,How many different countries won medals at the World Cyber Games in 2004?,3,54,122,11,The number of countries participating in the World Cyber Games has risen from 17 in 2000 to 70 in 2006.
283578,General Knowledge,1,Computer Games,"In the game ""World of Warcraft"", what are you asked to do when you die?",Return To Checkpoint,Continue,Choose Human Or Zombie,Release Your Spirit,"In ""World of Warcraft"", you release your spirit when you die and become a ghost, and are transported to the nearest graveyard."
302933,General Knowledge,3,Board Game,"In the board game ""Sorry"", how many cards are you initially dealt?",Eight,Two,Five,Zero,"In the board game ""Sorry"", you draw a single card at a time from a pile rather than being dealt a hand initially."
324519,General Knowledge,2,Computer Games,"In the PC game ""Ancient Wars: Sparta"", which Spartan king makes an appearance?",Emperor Xerxes,King Philip,Alexander The Great,King Leonidas,"In the PC game ""Ancient Wars: Sparta"", famous figures from history make an appearance, such as the Spartan king Leonidas."
346773,General Knowledge,2,Computer Games,"On what planet do the events of ""Dawn of War: Dark Crusade"" take place?",Jupiter,Cyrene,Tartarus,Kronus,"In ""Dawn of War: Dark Crusade"", Kronus is a Necron tomb world whose inhabitants are beginning to awaken."
349156,General Knowledge,3,Arcade Video Games,"What evil genius resurrects people in the arcade game ""House of the Dead""?",Dr. Vently,Dr. Mezmer,Dr. Caligari,Dr. Curien,"The arcade game ""House of the Dead"" was created by Sega and released in 1997."
349170,General Knowledge,2,Arcade Video Games,"In ""Defender"", a direct hit to a Pod will break it up into what?",Podlings,Swarmettes,Mini Bombers,Swarmers,"Defender from the 1980's was included in the ""Williams Arcade's Greatest Hits"" game for PCs and PlayStations."
79901,General Knowledge,2,Abbreviations,What is the chemical formula for baking soda?,Caco2,Caco,Cacocl4,Nahco3,NaHCO3 is the chemical makeup of sodium bicarbonate.
385582,General Knowledge,2,Curiosities And Wonders,Which volcano is considered the largest in the world?,Mount St. Helens In Washington,Vesuvius In Italy,Mammoth Mountain In California,Mauna Loa In Hawaii,Mauna Loa rises 9.5 miles above its base under the sea.
232002,General Knowledge,2,Health And Fitness,"What is the longest, strongest bone in the body?",Humerus,Fibula,Ulna,Femur,"Spanning from the bottom of the hip to the top of the knee, the femur's name is from the Latin word for ""thigh""."
321355,General Knowledge,1,Herbal Medicines,"What herbal medicine, also known as goat weed, is used to treat depression? ",Chamomile,Lavender,Oregano,St. John's Wort,The herb St. John's Wort is also known by the names Klamath weed and hypericum.
90174,General Knowledge,1,Math - 4th Grade,"What number does the Roman numeral ""X"" stand for?",Five,One,50,10,Roman numerals were adapted from Etruscan numerals.
302026,General Knowledge,1,Math - 2nd Grade,How many seconds are there in 2 minutes?,2,200,60,120,"There are 86,400 seconds in a day."
76354,General Knowledge,2,Medicines And Medical,Which country pioneered heart transplant surgery?,Egypt,Nigeria,Kenya,South Africa,South African surgeons developed and performed the world's first heart transplant.
2855,General Knowledge,2,Physics,How many quarks are in an electron?,Three,Two,One,None,"Electrons are leptons, which are not made of quarks."
2866,General Knowledge,1,Physics,What kind of electromagnetic radiation arises only from nuclear excitations?,Microwaves,Ultraviolet Light,X-Rays,Gamma Rays,Gamma rays are ultra-high frequency light rays created when a nucleus relaxes from an excited state.
4772,General Knowledge,2,Biology,"What is the Japanese word for ""dog""?",Ichi,Apso,Dojo,Inu,Some Japanese dogs are the Akita-Inu and Shiba-Inu.
18066,General Knowledge,2,Astronomy,Which of Jupiter's moons is covered by active volcanoes?,Europa,Callisto,Ganymede,Io,"Io is caught between the gravity of Jupiter and the moon Europa, and this tug-of-war continually fuels the volcanoes on its surface."
18071,General Knowledge,2,Astronomy,What does the astronomical object called Charon orbit?,Jupiter,Saturn,Mars,Pluto,Pluto and it's moon Charon are close in size.
46914,General Knowledge,1,Animals,Which is the heaviest snake?,Reticulated Python,Indian Python,Boa Constrictor,Anaconda,Anaconda have been known to grow up to 80 feet long.
46990,General Knowledge,2,Animals,Which breed of dog is the tallest known breed?,Newfoundland,Borzoi,Russian Wolfhound,Irish Wolfhound,The Irish Wolfhound was first recorded in Ireland in 275 BC and almost became extinct in the early 1800's.
47418,General Knowledge,1,The Human Body,"When one suffers from Plantar Fasciitis , what part of the body is hurting?",Facial Skin,Throat,Lower Back,Feet,Plantar Fasciitis is an inflamed plantar muscle on the bottom of the foot.
48997,General Knowledge,3,Animals,Which goat has horns that resemble cork screws?,Saanen Goat,Nubian Goat,Rocky Mountain Goat,Suleiman Goat,The Suleiman Goat lives in Central Asia and is endangered.
54351,General Knowledge,3,Animals,Which Queen introduced the Pomeranian breed to England?,Queen Victoria,Queen Elizabeth I,Queen Mary,Queen Charlotte,Queen Charlotte brought the first Pomeranians with her to England upon her marriage to King George III.
76872,General Knowledge,2,Chemistry,What is the name of a hydrocarbon with two carbons sp^2 hybridized?,Ethadiene,Ethyne,Ethane,Ethene,sp^2 hybridization indicates a double bond between the carbons.
82290,General Knowledge,2,The Human Body,How many cervical vertebrae are there?,4,33,5,7,"There are 33 vertebrae in total in the human body, of which 7 are cervical."
90798,General Knowledge,2,Animals,What is a baby sea lion called?,Dray,Calf,Kit,Pup,Sea lion pups weigh between 13 and 20 pounds at birth.
103988,General Knowledge,2,General Science,At what temperature does water first boil?,1000 Degrees F.,100 Degrees F.,32 Degrees F.,212 Degrees F.,The boiling point of water changes slightly depending on air pressure.
189275,General Knowledge,1,Astronomy,"What is the study of stars, planets and galaxies called? ",Hygrometry,Nuclear Physics,Meteorology,Astronomy,Io is the explosive moon that orbits the planet Jupiter.
189285,General Knowledge,1,Earth Science,What do you call someone who studies earthquakes?,Albino,Vulcanologist,Petri Dish,Seismologist,Most professional seismologists are employed in the oil and natural gas industry.
189289,General Knowledge,1,Easy Science,What are the dark spots on the Sun that appear in 11-year cycles called?,Thrusters,Water Vapor,Aerobic,Sunspots,The existence of sunspots was first proved by Heinrich Schwabe in 1829.
189297,General Knowledge,1,Easy Science,What is a star known as after it has run out of energy and shut down?,Synga,Gasohol,Muscle,White Dwarf,Energy-less stars called white dwarfs are incredibly dense.
189350,General Knowledge,1,Physics,Which scientific term is defined as a physical particle with a negative charge?,Cloud Bank,Hair,Viscosity,Electron,The electron was first discovered by J.J. Thomson in 1897.
189470,General Knowledge,1,Earth Science,What is the study of plant life called?,Geography,Metallurgy,Zoology,Botany,The Smithsonian has its own botany department.
189531,General Knowledge,1,General Science,"What is a more scientific term for ""surrounding temperature""?",Breaking Point,Absolute Temperature,Heat Capacity,Ambient Air Temperature,"On a typical day on Mercury the early-afternoon temperature reaches a high of 800 degrees Fahrenheit, hot enough to melt zinc and tin."
189588,General Knowledge,1,General Science,What is the term given to heat and light radiated from the sun?,Solar Flares,Ambient Air Temperature,Greenhouse Gases,Solar Energy,"When solar energy passes through the Earth's atmosphere, six percent of it is reflected and 16% of it is absorbed. "
189692,General Knowledge,1,Earth Science,What is the height of the sea's surface generally called?,Elevation,Oil Shale,Cirriform,Sea Level,The sea level worldwide dropped during the 1990's.
189744,General Knowledge,2,General Science,"What does the scientist called a ""cytologist"" do?",Studies Atomic Nuclei,Works With Metal Alloys,Studies Stars,Studies Cells,Camilo Golgi is one of the more famous cytologists. 
217232,General Knowledge,2,General Science,What is the name for the branch-like tube that makes up the body of a fungus?,Parasite,Stem,Synapse,Hypha,"Fungi, the plural form of fungus, digest their food externally."
244799,General Knowledge,1,Animals,What type of animal is a guppy?,Bird,Mammal,Reptile,Fish,A guppy is a small fish that gives birth to live young rather than laying eggs.
